Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Local agroforestry practices for food and nutrition security of smallholder farm households in southwestern Ethiopia.,"","Abstract: Food and nutrition security (FNS) rests on five pillars: availability, access, utilization, stability, and sovereignty. We assessed the potentials of local agroforestry practices (AFPs) for enabling FNS for smallholders in the Yayu Biosphere Reserve (southwestern Ethiopia). Data was collected from 300 households in a stratified random sampling scheme through semi-structured interviews and farm inventory. Utility, edibility, and marketability value were the key parameters used to determine the potential of plants in the AFPs. Descriptive statistics, ANOVA, and correlation analysis were employed to determine the form, variation, and association of local AFP attributes. Homegarden, multistorey-coffee-system, and multipurpose-trees-on-farmlands are the predominant AFPs in Yayu. Multipurpose-trees-on-farmlands are used mainly for food production, multistorey-coffee-system for income-generation, and homegarden for both. The 127 useful plant species identified represent 10 major plant utility groups, with seven (food, fodder, fuel, coffee-shade, timber, non-timber-forest-products, and medicinal uses) found in all three AFPs. In total, 80 edible species were identified across all AFPs, with 55 being primarily cultivated for household food supply. Generally, household income emanates from four major sources, multistorey-coffee-system (60%), homegarden (18%), multipurpose-trees-on-farmlands (13%), and off-farm activities (11%). Given this variation in form, purpose, and extracted benefits, existing AFPs in Yayu support the FNS of smallholders in multiple ways. ### Countries mentioned: Ethiopia ### Programs found: adivasi fishery project (AFP) ### Topics keywords: ANOVA;nutrition security;rural household;significant difference;analysis variance;descriptive statistic;household income;agroforestry system;farm size;semi structured interview;agroforestry practice;family farming;food security ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: Low-income countries(995$ or less);IDA",2018,,Sustainability,,,,,https://doi.org/10.3390/su10082722,,#36734,,"",""
Impacts of Land Use Change on Guatemalan Food Sovereignty,"","Abstract: In 2014 the World Food Programme estimated that 130,000 smallholder farmers in Guatemala lost crops due to a drought . That same year Guatemala also enjoyed 5-year highs in the production of water-intensive large-scale export crops: banana and sugar cane . This is one example of a series of food price and climate shocks that have caused many to question the impact of the global food system on the world’s poor. Guatemala is a particularly pointed example of the issues many countries face. Its fertile soil and varied climatic regions make it a productive place to grow food. This has led to it becoming an important producer of specific agricultural goods such as coffee, sugar, bananas, and oilseed palm, yet it struggles with one of the highest rates of malnutrition in the Western Hemisphere as well as pervasive food insecurity. Some have argued that this trend is due to the allocation of prime agricultural resources to export agriculture and the forcing of non-export agriculture onto marginal lands with high climate vulnerability. This research quantifies the geographic changes in Guatemalan export and non-export agriculture over the period of 2003-2010 and relates those changes to the vulnerability of the domestic food supply to climate change and international food price spikes. I find that non-export agriculture is moving onto more marginal land at higher elevations which both reduces expected yields and increases the likelihood of crop failure. ### Countries mentioned: Guatemala ### Plant products search: sugarcane;oilseeds;bananas ### Programs found: world food program (WFP);food program;international food program ### Topics keywords: land use change;agro food;food insecurity;climate change;cover crop;CC;LUC;land use;sugar beet;raw material;large scale;sweet potato;smallholder farmer;food sovereignty;family farming;sugar cane;food security ### Geo regions: Latin America and the Caribbean ### World bankdivision regions: Upper-middle-income countries ($3,896 to $12,055);IBRD",2018,,,,,,,https://search.proquest.com/docview/2124651331?accountid=9902,,#37294,,"",""
Indispensable resources.,"","Abstract: This article examines the usefulness of agricultural biodiversity in tackling malnutrition and food security. Biodiversity through breeding of improved varieties will be important in areas such as Africa, where resources such as water are limited. But promoting biodiversity further through a combination of these improved varieties with traditional crops will ensure that the latter compensates for the nutrients lacking in the former. Another important use of agricultural biodiversity is to deliver greater food security through resilience and stability. Judicious use of agricultural biodiversity offers opportunities to limit risks and to intensify production at the same time. In its ability to buffer yields from season to season and to deliver improved nutrition, and to do so when few other options are available, agricultural biodiversity is perhaps at its most useful in precisely the kinds of marginal and fragile environments that are occupied by the poorest farmers. One obstacle to date is that other inherently simpler approaches to the use of genetic resources, and to the treatment of malnutrition, have tended to receive the lion's share of investment. But it is also the case that agricultural improvement and malnutrition are among the most effective areas in which to invest for economic and general development. In conclusion, a sustained and well-resourced effort to make use of agricultural biodiversity could help reduce poverty and malnutrition in Africa and elsewhere. ### Plant products search: stone fruits ### Topics keywords: genetic diversity;genetic resource;point view;FAO;food security",2008,,"D + C, Development and Cooperation",,,,,,,#37341,,"",""
Influence of a flavonoid (formononetin) on mycorrhizal activity and potato crop productivity in the highlands of Peru.,"","Abstract: Mycorrhizal fungi serve as biofertilizers, reduce plant stress, and can increase plant productivity. Since the potato originated from the highlands of Peru and Bolivia, a goal of this research was to utilize indigenous Peruvian mycorrhizal populations to enhance crop productivity in a subsistence production site. The field study was also conducted to test the effectiveness of the flavonoid, formononetin, to stimulate native mycorrhizal activity and subsequent yield of six Andean potato ( L.) cultivars. The subsistence site was located at an altitude of 3900 m (61 kPa) in San Jose de Aymara (Department of Huancavelica), in the central highlands of Peru. This is approaching the highest altitude in the world that potatoes are grown. The site had a sandy-loam soil with pH 3.6, low phosphorus (P) availability and high aluminum (Al). Tubers were planted in November 1999, and grown during the rainy season. Minimal organic fertilizer was applied and the potato crop received no supplementary irrigation. Formononetin was applied as a soil drench when shoots from tubers began to emerge. At the end of the 6.5 month study, formononetin increased either potato tuber dry mass and/or Nos. 1 and 2 grade tubers in three of the six cultivars. Soil sporulation of indigenous mycorrhizae was increased more than three-fold by formononetin. There were differences in total mycorrhizal colonization among the six cultivars. The predominant arbuscular mycorrhiza genera at the site were , and . ### Countries mentioned: Bolivia;Peru;United States;Costa Rica;Uruguay ### Plant products search: tuber;potatoes ### Measurements for interventions: phosphorus ### Topics keywords: DM;AMF;mycorrhizal fungi;organic fertilizer ### Geo regions: Latin America and the Caribbean;North America ### World bankdivision regions: Upper-middle-income countries ($3,896 to $12,055);High-income countries($12,056 or more);Middle-income countries($996 to $3,895);IBRD",2005,,Scientia Horticulturae,,,,,https://doi.org/10.1016/j.scienta.2005.04.013,,#36673,,"",""
Inorganic nitrogen dynamics in fallows and maize on an Oxisol and Alfisol in the highlands of Kenya,"","Abstract: Fallows with naturally regenerated or planted vegetation are important in many subsistence agricultural systems of tropical regions, but the underlying soil processes in fallows are not properly understood. We investigated N dynamics under different fallow vegetation on a Kandiudalfic Eutrudox (2372-mm rain in 16 months) and a Kandic Paleustalf (1266-mm rain in 15 months) in the Kenyan highlands. The treatments, which extended for three cropping seasons (15-16 months), were Zea mays (maize), natural regrowth of vegetation (natural fallow), planted Sesbania sesban (sesbania fallow) and uncultivated soil without vegetation (bare fallow), Inorganic N (nitrate + ammonium-N) to 2-m depth under bare fallow increased by 242 kg N ha(-1) year(-1) on the Oxisol and 54 kg N ha(-1) year(-1) on the Alfisol, indicating that N mineralization exceeded N losses. Subsoil inorganic N (0.5-2.0 m) remained relatively unchanged after three crops of unfertilized maize, which produced limited total biomass because of P deficiency. Inorganic N decreased during natural and sesbania fallows, and both fallows similarly depleted subsoil inorganic N. The fallows depleted inorganic N at 0.5-2.0 m by 75-125 kg N ha(-1) year(-1) down to a minimum N content between 40 and 80 kg N ha(-1). After slashing sesbania and incorporating the above-ground biomass with 154-164 kg N ha(-1), soil inorganic N increased within 2 months by 136 kg N ha(-1) on the Oxisol and 148 kg N ha(-1) on the Alfisol. Inorganic N decreased after cropping the bare fallow on the Oxisol with maize, indicating that inorganic N was prone to leaching during heavy rains when the maize was small. A considerable part of the N in biomass of the natural fallow was recycled. Much of the total N accumulated by the sesbania fallow was removed with the wood and the amount of N recycled was similar an the Oxisol and Alfisol. We conclude that sesbania fallows can retrieve considerable subsoil inorganic N on deep soils with high subsoil N and effectively cycle this N through its rapidly decomposable biomass to subsequent crops. ### Countries mentioned: Kenya ### Plant products search: sesbania;maize ### Measurements for interventions: ground biomass ### Topics keywords: nitrogen fertilizer;paddy field;TN;NH4;TP;NO3;NH4 N ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: BLEND;Middle-income countries($996 to $3,895)",2000,,GEODERMA,,,,,https://doi.org/10.1016/S0016-7061(00)00072-0,,#37519,,"",""
Integrated pest management in the small farmer's maize crop in Nicaragua.,"","Abstract: Details are given of work carried out in Nicaragua to develop a programme of integrated pest management for maize. The crop is grown there by small farmers and the major insect pests are Spodoptera frugiperda (J. E. Smith) and Diatraea lineolata (Wlk.). Damage in the first 2-3 weeks after emergence was attributable to feeding by the larvae on the meristem tissues of the bud and the loss could be compensated for by sowing at higher densities than normal and thinning the infested plants 2-3 weeks after emergence. The need for early chemical treatments was thus avoided and the natural enemies were safeguarded. The main parasites of S. frugiperda were Rogas laphygmae Vier. and Chelonus insularis Cress.; the larvae were preyed on by Doru taeniatum (Dohrn) and adversely affected by heavy rainfall. During the later stages of maize growth, S. frugiperda was heavily attacked by Lespesia archippivora (Ril.), Hexamermis sp. and several insect predators. The main natural enemy of Diatraea lineolata was the egg parasite Trichogramma pretiosum Ril. Despite the natural enemies, control measures were needed once 20% of the whorls were damaged by S. frugiperda. Treatments should be with granules or insecticidal baits placed directly in the whorls, preferably only in the infested ones. Cage studies indicated that the yield losses caused by D. lineolata were 3-6%/borer per plant, but chemical control was not considered to be justified and other measures such as stalk and stubble burning in the dry season are emphasised. Under drought conditions, control of S. frugiperda did not increase yields; the use of fertilizers stimulated both pests. Fertilizers only increased yields when combined with chemical protection of the whorl. Intercropping of maize and beans reduced the damage to maize by both pests. Grassy weeds (mainly Digitaria sp. and Eleusine indica) tended to harbour larvae of Spodoptera, and infestation of maize was higher in plots with weeds than in weeded plots. It is recommended that a maize resistance breeding programme should be established in Central America to concentrate on S. frugiperda and that the introduction into Nicaragua of exotic parasites of S. frugiperda should be considered. ### Countries mentioned: Nicaragua ### Plant products search: maize;grain legumes ### Animal products search: eggs ### Programs found: breeding program (BP);developed program;program integrated pest management (IPM) ### Topics keywords: small scale;food insecurity;integrated pest management;spatial distribution;non IPM;natural enemy;biological control;IPM;insect pest;sweet potato;dry season;agroforestry system;dairy cattle;crop residue;pest control;human activity ### Geo regions: Latin America and the Caribbean ### World bankdivision regions: Middle-income countries($996 to $3,895);IDA",1981,,Mededelingen Landbouwhogeschool Wageningen,,,,,,,#37482,,"",""
Integrated watershed management-experience in the Shivaliks of Hoshiarpur.,"","Abstract: The Shivaliks of Hoshiarpur (Punjab) extend to the adjoining areas of Jammu &amp; Kashmir, Himachal Pradesh and Haryana. Farming in these areas is of subsistence type and productivity is low. Suitable dryland technology for these areas is now available and the impact of different components of technology, viz in situ conservation of soil and water, selection of suitable crops and varieties, optimum fertilizer use and runoff collection, and recycling, have been identified as steps necessary for increasing production and reducing erosion. The farmers are convinced of the value of technology but its dissemination is low due to lack of an integrated approach. Due to the undulating topography, suitable land shaping is considered essential and the entire 3-5 km wide belt of the Shivalik foothill soils needs suitable land treatment. This area needs to be treated on a watershed basis with at least 75% subsidy for land treatment. The element of risk continues to exist in the minds of the farmers due to weather aberrations and it can only be reduced through efficient collection and utilization of available runoff water for supplemental irrigation for stabilizing crop production. Suitable sites for runoff collection need to be identified and works executed in a phased manner as a national programme. The resource-poor farmers are not in a position to take up major land improvement programme without state help. ### Countries mentioned: India ### Programs found: national program;land improvement program ### Topics keywords: protected area;genetic diversity;point view ### Geo regions: South Asia ### World bankdivision regions: Middle-income countries($996 to $3,895);IBRD",1988,,National seminar on water management: the key to developing agriculture.,,,,,,,#36206,,"",""
INTENSIFICATION OF PEASANT AGRICULTURE IN YUCATAN,"","Abstract: This is a study of the spontaneous intensification of peasant agriculture in Yucatan, a semi-arid limestone plain in the lowland tropics of southeastern Mexico. Maize, the staple food crop, has always been grown almost exclusively in small communities of Maya peasants. The milpa, a traditional, slash-and-burn system of continuous rotation through forest fallow, has persisted because it is adapted to the thin, rocky soils and irregular rainfall patterns. The majority of the Maya were absorbed as debt-peons into plantations which produced sisal fiber for export in the 19th Century. After the Revolution of 1912-1917, a program of agrarian reform permitted a brief-resurgence and re-expansion of their traditional economy. In recent decades they have faced an increasingly serious dilemma. Due to shortened fallow periods, deteriorating price relationships, and rising economic expectations, milpa agriculture can neither assure the security of the household food supply nor provide them with an adequate income. Most families simultaneously produce a portion of their subsistence needs, sell agricultural products, and work off the farm on a seasonal or intermittent basis. This case study concentrates on the Puuc zone, one of the few areas of Yucatan where Maya peasants have been able to develop more intensive production systems. Over the past 40 years, approximately 3,500 families have gradually shifted from subsistence-oriented milpa to the cultivation of fruits and vegetables for the regional market. Small-scale irrigation units were constructed by the Federal government, but the farmers retained the autonomy to modify their traditional technology and grow annual, semi-perennial and perennial crops in various combinations and sequences. They have developed their parcels with small, incremental investments of labor time and cash earned in migratory labor. Their operations are organized to minimize risk in an uncertain economic environment, and to build up equity in the long-term security of their households. Although yields and net returns are modest compared to large commercial orchards, they have stabilized the economy of many families. Recent government programs designed to introduce modern fruit and vegetable production into Yucatan have been less successful. . . . (Author's abstract exceeds stipulated maximum length. Discontinued here with permission of author.) UMI ### Countries mentioned: Mexico;Japan ### Plant products search: maize;fruit vegetables;fruits ### Programs found: government program ### Measurements for interventions: milpa ### Topics keywords: small scale;land reform;net return;agrarian reform;long term ### Geo regions: Latin America and the Caribbean;East Asia and Pacific ### World bankdivision regions: Upper-middle-income countries ($3,896 to $12,055);High-income countries($12,056 or more);IBRD",1984,,,,,,,http://proxy.lib.ohio-state.edu/login?url=https://search.proquest.com/docview/303288317?accountid=9783,,#36809,,Abdrahmane Wane (2019-06-14 18:33:02)(Screen): Too old to be included; ,""
"Interannual variation in area and productivity of crops as influenced by rainfall, soil and land holding in changeri micro-watershed of Udaipur District of Rajasthan","","Abstract: Reasons for yield gap on the farms owned by medium to large farmers and marginal to small farmers have been investigated based on the socio-economic survey of 130 farm families and soil characteristics. Reasons for inter-annual variation in land use pattern from 2002 to 2004 were also studied simultaneously. Better soil conditions such as depth, texture, water holding capacity, slope and good management were the causes for 30 to 50% higher yield on the farms owned by medium to large farmers as compared to the farms belonging to marginal to small farmers. Food habits and dietary needs control the area for maize, whereas per capita return and lower water requirement influenced the area under groundnut, mustard and cumin. Sub-optimal rainfall sometimes led to increased area under sorghum at the cost of other kharif crops. Water available for irrigation, which is declining on account of depleting ground water resources, decided the area of wheat crop. ### Plant products search: wheat;cumin;sorghum grain;maize;groundnuts;mustard ### Topics keywords: land use;yield gap;bulk density;management practice",2008,,Annals of Arid Zone,,,,,,,#37456,,"",""
"International workshop on <i xmlns=""http://www.w3.org/1999/xhtml"">Albizia</i> and <i xmlns=""http://www.w3.org/1999/xhtml"">Paraserianthes</i> species. Proceedings of a workshop sponsored by Winrock International for Agricultural Development, United Nations Development Program/Food and Agriculture Organization Regional Forest Tree Improvement Project (FORTIP), PICOP Resources Inc., November 13-19, 1994, Bislig, Surigao del Sur, Philippines.","","Abstract: and are multipurpose tree species with great potential to protect the environment and provide valuable products through plantation and farm forestry. They occupy many environmental niches including dry forests, semiarid savannas, humid tropical forests, and warm-temperate forests. Unlike and species, and have not been extensively studied. Because of the their significance, an international workshop on these species was organized by FACT Net (Winrock International) and the UNDP/FAO Regional Forest Tree Improvement Project (FORTIP). Financial support for the workshop was provided by FACT Net, FORTIP, and USDA Forest Service - International Forestry (USDA/FS/IF). PICOP Resources, Inc. hosted the workshop at its corporate headquarters in Bislig, Philippines. Knowledge of current research on and utilization and management of and species was shared by 38 workshop participants from South East Asia, South Asia, the Pacific, Africa, Europe, and the Americas. The 20 papers they presented or contributed are published in this proceedings volume, arranged in 5 sections covering establishment and use (6 papers), screening trials (4 papers), agroforestry and farming systems (3 papers), timber production (5 papers), and tree improvement (2 papers). The papers are: Establishment techniques and utilization of and in Bangladesh ; Potentials of for agroforestry in West Africa ( in semiarid India ( and species in small-scale farming systems in Indonesia ; Seed treatment for species ; Performance of species in different soil and ecological conditions of India ; species from Mexico and Central America ( research in Honduras: interim growth performance results for nine Mesoamerican species ; Growth and development of , and other nitrogen fixing trees as affected by spacing on hillsides in Eastern Visayas, Philippines (Bumatay, E. C. ### Countries mentioned: Mexico;Bangladesh;Honduras;Indonesia;India;Philippines ### Programs found: agricultural development program (ADP);program food agriculture organization (FAO);agriculture development program;forest tree improvement project (FORTIP);national development program;development program;united nation development program (UNDP) ### Topics keywords: drought stress;SA;farming system;united nation;small scale;agro food;oil palm;food safety;tropical forest;protected area;financial support;food secure;FAO;USDA;food sovereignty;family farming;food security;food insecurity;CAP;crop insurance ### Geo regions: Latin America and the Caribbean;East Asia and Pacific;South Asia;Europe and Central Asia ### World bankdivision regions: Upper-middle-income countries ($3,896 to $12,055);Middle-income countries($996 to $3,895);IDA;IBRD",1997,,"International workshop on Albizia and Paraserianthes species. Proceedings of a workshop sponsored by Winrock International for Agricultural Development, United Nations Development Program/Food and Agriculture Organization Regional Forest Tree Improvement ",,,,,,,#37518,,"",""
