Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Input utilization pattern and labour utilization pattern in production of foxtail millet in Bellary district of Karnataka.,"","Abstract: The focus of the present study was on input-use pattern and labour-use pattern in production of foxtail millet in Bellary district of Karnataka. A sample size of 90 farmers was selected using multiple stage random sampling method. Field level data were elicited for the agriculture year 2009-10 through personal interview method. For analyzing the data collected during the study were employed. It was observed that foxtail millet was grown mainly by small and marginal farmers with poor resource base. Foxtail millet growers had a cropping intensity of more than 100 per cent indicating efficient utilization of land. Farmers used lesser quantity of seed than the recommended seed rate for sowing. The quantities of FYM and fertilizers were also found to be less in the production of foxtail millet. Among the different operations, the use of human labour was the highest for harvesting, followed by threshing, interculturing, spreading of farm yard manure, sowing, transportation of farm yard manure, ploughing, harrowing, drying, winnowing and bagging and fertilizer application. The benefit cost ratio of 1.48 indicated its feasibility of cultivation in the rainfed marginal areas. With these results it can be concluded that the cultivation of foxtail millet brings better returns to farmers in rainfed areas. ### Plant products search: millets;foxtail millet ### Measurements for interventions: benefit cost ratio;cost ratio ### Topics keywords: organic fertilizer;net return;use efficiency;farm yard manure;FYM;human labour;cost ratio;farmyard manure",2014,,International Research Journal of Agricultural Economics and Statistics,,,,,,,#36357,,"",Experimental
"Investing in agricultural water management to benefit smallholder farmers in West Bengal, India: AgWater Solutions Project country synthesis report","","Abstract: This Working Paper summarizes research conducted as part of the AgWater Solutions Project in West Bengal between 2009 and 2012. Agriculture is the main livelihood for 70% of West Bengal's population of 91 million. The state's high population density and low per capita landholding make it important for farmers to grow two to three crops a year for survival, hence the critical role of agricultural water management. Researchers from the AgWater Solutions Project conducted studies on rainwater harvesting with small ponds (known locally as hapas), improving access to groundwater through rural electrification and diesel subsidies, and the adoption dynamics of agricultural water management technologies. Research methodologies included rapid rural appraisals, interviews, survey questionnaires and literature reviews. Research suggested that pump rental markets would benefit a large number of poor smallholder farmers. West Bengal has ample groundwater resources, but restrictive policies and high costs make access difficult. Studies on the adoption dynamics of agricultural water management technologies suggested that adoption of irrigation technology does not necessarily follow a linear path from simple manual methods to 'advanced' motorized technologies, and that cost is not necessarily the main driving factor. Rental markets have emerged as a natural response to demand from those who are unable to own a pump. Wider access to groundwater through the use of electric and diesel pumps could benefit anywhere from one to four million households. When farmers are able to access groundwater they cultivate the more high-value boro paddy and diversify their crop mix. Counterproductive policies and rising costs are forcing farmers to cut back on their groundwater use. In areas where groundwater is abundant, easing some of the legal constraints could help to reverse this trend. Rainwater harvesting could benefit from nearly 400,000 to over 600,000 farming households at a 50% adoption rate. The introduction of small rainwater harvesting reservoirs has resulted in benefits, including cultivation of fallow land, higher crop intensity due to cropping in the dry season, new crops, more livestock and aquaculture. ### Countries mentioned: India ### Plant products search: rice ### Programs found: agwater solution project ### Measurements for interventions: farming household ### Topics keywords: small scale;food insecurity;spatial distribution;biological control;population density;protected area;dry season;agroforestry system;dairy cattle;crop residue;sweet potato;smallholder farmer;human activity ### Geo regions: South Asia ### World bankdivision regions: Middle-income countries($996 to $3,895);IBRD",2012,,IWMI Working Papers,,,,,https://doi.org/10.5337/2012.210,,#36763,,"",Observational; interventions
Comparative performance of conservation agriculture and current smallholder farming practices in semi-arid Zimbabwe [electronic resource].,"","Abstract: Conservation agriculture (CA) is currently promoted in sub-humid and semi-arid areas of sub-Saharan Africa as a means to increase crop water use efficiency and stabilize yields. In this study, conducted during three consecutive seasons in a semi-arid area of Zimbabwe, the short-term performance of CA and current farming practices (CP) were compared in two multi-locational experiments: (1) unfertilised on-farm trials with a cotton-sorghum rotation during three consecutive seasons, and (2) farmers’ cotton fields receiving fertiliser provided on credit by cotton companies during two consecutive seasons. In both cases, residues for mulch were produced in situ. In addition to biophysical measurements, farmers’ perceptions of the technology were appraised. CA did not affect cotton productivity during the first 2 years of the experiments, which received average or above average rainfall. During the drier 2009–2010 season CA had a negative effect on crop yield both in the on-farm trials (average yield of 730 and 820kgha−1 under CA and CP, respectively) and in the farmers’ cotton fields (average yield of 1220 and 1440kgha−1 under CA and CP, respectively). There was no difference in water runoff between CA and CP on a relatively fine-textured soil, but significantly more runoff with CA on a coarser-textured soil (14mm during the wetter 2008–2009 season), due to soil surface crusting and soil compaction. Most soils in the study area fall into this latter category. For this reason, farmers perceived ploughing as necessary during drier years to maximize water infiltration, but perceived CA as beneficial during wetter years as a means to ‘shed water’ and avoid water-logging. This is rather counterintuitive vis- ### Countries mentioned: Zimbabwe ### Plant products search: sorghum grain;cotton ### Programs found: consumer program (CP);community project (CP) ### Topics keywords: organic farming;soil erosion;cropping system;land degradation;CA;soil fertility;use efficiency;dry matter;carbon pool;factor affecting;bulk density;SSA;soil compaction;cropping practice;point view;drip irrigation;BMP;smallholder farming;flow rate;farming practice;farming system;negative effect;centrifugal pump;DM;human health;cluster analysis;conservation practice;soil organic carbon;farmer perception;management practice;CP;short term;genetic diversity;cover crop;spatial distribution;trace element;crude protein;factor influencing;extension service;smallholder farmer;human activity;sustainable agriculture;WUE ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: Low-income countries(995$ or less);BLEND",2012,,Field crops research,,,,,https://proxy.lib.ohio-state.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=agr&AN=IND44679231&site=ehost-live,,#37619,,"",Experimental
Livestock and livelihoods of smallholder cattle-owning households in Cambodia: the contribution of on-farm and off-farm activities to income and food security,"","Abstract: The majority of smallholder farming households in Cambodia are rurally based and rely on agriculture to support their livelihoods. However, in recent years, growth in the agriculture sector has stagnated with farmers facing several challenges including declining prices for traditional crops and irregular rainfall patterns. This has led to a need for farmers to diversify income sources with livestock promoted as a more viable livelihood activity, particularly the raising of cattle and poultry. However, uncertain profitability of livestock activities is a common perception by smallholders, especially where animals have not been traditionally viewed as a primary income source. To address this, information is required which compares the income and expenses associated with livestock raising to other on-farm activities and off-farm sources. This study reports on a survey of livelihood survey of 17 male and 21 female representatives of 20 households owning cattle in Cambodia, comparing the associated income and expenses of the various livelihood activities in the 12-month period from January to December 2016. Combined total household income from both on-farm and off-farm sources ranged from USD875 to 17730 with an average of USD6779, representing 51% and 49% from on-farm and off-farm activities, respectively. Cattle raising was the most common source of on-farm income (85%), contributing USD1064 and representing 22% of total household income. General household expenses, such as food and transportation (including expenses associated with off-farm employment), represented the majority of total household expenses (79%). Gross profit calculations indicated higher values for pig raising (USD1841.79), cattle (USD950.80) and non-rice crops (USD884) whilst the highest gross margin value was recorded for cattle (89.33%) followed by vegetables (85.27%) and non-rice crops (83.08%). Whilst wet season and dry season rice returned a negative gross profit value of USD197.27 and USD90.60 on average per household, respectively, both were ranked as most important for household consumption, followed by poultry, providing the main source of energy (rice) and protein (chicken meat) and sustaining household food requirements. The study concludes that although smallholder cattle-owning households in Cambodia undertake a diverse range of on-farm activities, as cattle raising provides a superior income source due to higher returns and lower variable costs, it could be promoted as a preferred livelihood activity by agencies conducting rural extension activities. Although consideration of available labour and monetary funds to invest in cattle raising is required, it was observed that income from off-farm sources may prove beneficial in providing the additional monetary funds to support cattle-raising activities and assist in providing generally poor smallholder households with enhanced economic resilience. ### Countries mentioned: Cambodia ### Plant products search: rice;vegetables ### Animal products search: poultry meat ### Measurements for interventions: farm income ### Topics keywords: soil fertility;sweet potato;gross margin;rural household;taking account;smallholder farming;dry season;agroforestry system;farming system;beef cattle;GM;small scale;crop rotation;household food security;non GM;dairy cattle;farm size;food security;food insecurity;spatial distribution;household income;crop residue;smallholder farmer;human activity ### Geo regions: East Asia and Pacific ### World bankdivision regions: Middle-income countries($996 to $3,895);IDA",2018,,Tropical Animal Health and Production,,,,,https://doi.org/10.1007/s11250-018-1615-6,,#36760,,"",Observational
Maize crop residue uses and trade-offs on smallholder crop-livestock farms in Zimbabwe: Economic implications of intensification,"","Abstract: Decisions to use crop residues as soil cover for conservation agriculture create trade-offs for farmers who own cattle in crop-livestock systems. Trade-offs among soil C, crop and animal and crop productivity were analysed using the NUANCES-FARMSIM (FArm-scale Resource Management SIMulator) dynamic model. Retention on the soil surface of 0, 25, 50, 75 and 100% of the maize stover yield produced per farm, and the use of the remainder as animal feed was quantified over a 12 year period for four farm types in Murehwa, Zimbabwe. Retaining 100% maize residues in the field led to an annual loss of on average 68and 93kg body weight per animal for cattle on farms of the relatively wealthiest farmers (Resource Group, RG1) who had most land and cattle and RG2 respectively), and is therefore unsustainable for livestock production. There was an increase in grain yield of 1.6tfarm-1 and 0.7tfarm-1 for RG1 and RG2 respectively. Farmers without cattle (RG3 and RG4) may have a greater incentive for retaining their crop residues but they have to invest labour to keep the residues during the dry season. However, improved crop productivity for these farmers is limited by lack of access to fertiliser. The current practice of allocating all crop residues to animals results in average gross margin of US$7429 and US$4037 for RG1 and RG2 farmers respectively. Our results showed that from an economic perspective, it is logical that farmers prioritise the sustenance of cattle with crop residues over soil fertility management. We conclude that at current productivity levels, farmers who own cattle have limited scope to allocate crop residues for soil cover as it leads to significant loss in animal production and economic value. ### Countries mentioned: Zimbabwe ### Plant products search: maize;grain ### Measurements for crops: grain ### Measurements for interventions: maize stover ### Topics keywords: CA;soil fertility;animal feed;sweet potato;gross margin;environmental impact;taking account;dry season;agroforestry system;beef cattle;GM;body weight;raw material;small scale;trade offs;crop rotation;dairy cow;DM;significant difference;non GM;economic benefit;dairy cattle;farm size;animal husbandry;food insecurity;ecosystem service;spatial distribution;crop residue;human activity;grain yield ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: Low-income countries(995$ or less);BLEND",2015,,"Agriculture, Ecosystems and Environment",,,,,https://doi.org/10.1016/j.agee.2015.08.012,,#36176,,"",Modeling; Observational; livestock
Maize yields in varying rainfall regimes and cropping systems across Southern Africa: A modelling assessment,"","Abstract: Rainfall variability, which ultimately leads to climate change, is a major threat to smallholder agriculture. It affects time of sowing time and productivity, amongst other challenges. There is therefore need to evaluate the different strategies for their effectiveness in managing climate variability. This study assessed the effects of different strategies on sowing date, season length and maize yields under variable rainfall conditions. Maize (Zea mays L.) yield simulations for Southern Africa were conducted using the DSSAT model. Simulated conservation agriculture (CA)-based cropping systems included basins prepared early (CA-Basins early) and late (CABasins late), draught powered planter (CA-Direct seeder), ripper (CA-Ripper) and Dibble stick (CA-Dibble). Conventional systems were mouldboard ploughing early (CMP-early) and late (CMP-late). Rainfall seasons were classified into low, medium and high based on the total rainfall amount. Results showed that high-rainfall seasons were seeded earlier and had a greater season length compared to low rainfall seasons in drier agro-ecologies, translating to higher yields and vice versa. Reduced labour requirements and use of draught power, enabled early seeding of CA-ripper, direct seeder, basins early and CMP-early systems compared to CA-Basins late, Dibble stick and CMP-late systems. However, performance of cropping systems did not vary across season types suggesting that there was thus no evidence of higher yield advantages from CA technologies even during low rainfall seasons. This puts the merits of drought mitigation by CA technologies into doubt despite enabling early planting. ### Plant products search: maize;stone fruits ### Topics keywords: genetic diversity;food insecurity;cover crop;climate change;spatial distribution;trace element;cropping system;CA;zea may L;grain yield;growing season;cluster analysis;climate variability;human activity;CC;long term",2018,,University Initiatives in Climate Change Mitigation and Adaptation,,,,,https://doi.org/10.1007/978-3-319-89590-1_12,,#36507,,"",Modeling
Irrigation helps former pastoralists in arid Kenya.,"","Abstract: A programme aimed at developing irrigated crops and ameliorating the conditions in the drought-susceptible Turkana district of N. Kenya is described. Of the cereal crops grown maize cv. Katumani, sorghum and bulrush millet (Pennisetum typhoides) were the most successful. Maize was the highest yielding and could be harvested after 90 days. Groundnuts, green gram (Vigna radiata), beans (Phaseolus vulgaris) cv. Contender and soyabeans cv. Belgian Congo were the most promising legumes. ### Countries mentioned: Kenya;Congo;Congo ### Plant products search: green gram;millets;sorghum grain;soybeans;maize;groundnuts;grain legumes;phaseolus ### Topics keywords: NH4;NO3;drought stress;net return ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: BLEND;Low-income countries(995$ or less);Middle-income countries($996 to $3,895);IDA",1976,,World Crops,,,,,,,#37277,,"",interventions
Is Sustainable Intensification Pro-Poor? Evidence from Small-Scale Farmers in Rural Tanzania,"","Abstract: The transition of farming systems to higher levels of productivity without overusing natural resources is of rising interest especially in African countries, where population growth has often been larger than past productivity increases. This paper aims to contribute to the debate on whether environmentally friendly agricultural practices are compatible with economic interests. In the context of small-scale farm households in Tanzania, the analysis focuses on Conservation Agriculture (CA) at different levels of agricultural output, as CA is a promising toolbox for sustainable intensification. The results are based on a household survey conducted in 2014 with 900 randomly selected small-scale farmers in rural Tanzania, i.e., in semi-arid Dodoma and in semi-humid Morogoro region. We find that mulching is most frequently applied, followed by crop rotation, fallowing, intercropping and tree planting. Logit regressions show that CA adoption is influenced by socio-economic factors, farm characteristics and the regional context. Quantile regressions explain different levels of agricultural output through variables related to the extent of using CA. They indicate that marginalized farmers have the strongest crop income effect from an increased use of mulching. With increasing levels of agricultural output, the use of mulching remains beneficial for farmers, but the effect appears less pronounced. ### Countries mentioned: Tanzania ### Topics keywords: natural resource;CA;factor affecting;rural household;survey conducted;farming system;small scale;crop rotation;cluster analysis;household survey;management practice;food security;genetic diversity;sustainable intensification;spatial distribution;trace element;extension service;small scale farmer;smallholder farmer ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: Low-income countries(995$ or less);IDA",2017,,RESOURCES-BASEL,,,,,https://doi.org/10.3390/resources6030047,,#37314,,"",""
Maize productivity and nutrient use efficiency in Western Kenya as affected by soil type and crop management,"","Abstract: Low soil fertility and high weed infestation are the main culprits for the declining maize production in Western Kenya. Technology packages to address these constraints exist, but their effectiveness is likely to be influenced by variability in soil types and farm management practices in the region. Trials were conducted during the 2008/2009 cropping seasons to investigate the nutrient use efficiency and yield response of maize to some recommended management options for smallholder farmers on three dominant soil types of Western Kenya namely Acrisol, Nitisol and Ferralsol. Irrespective of seasons, average maize yields were highest on Nitisol (3.6 t ha(-1)) and lowest on Ferralsol (2.1 t ha(-1)). Maize yield gaps (difference between potentially achievable and actual yields) differed by season and soils with 4-5 t ha(-1) on Nitisol and about 6 t grain ha(-1) on Acrisol and Ferralsol. On Nitisol, the largest share of this yield gap (80%) was closed by the addition of mineral fertilizer, while on Ferralsol, reduced tillage could close 25-60% of the yield gap. The highest agronomic (13-39 kg grain kg(-1) N) and physiological (50-160%) N use efficiencies were obtained with mineral fertilizers, while the addition of organic amendments resulted in the highest P use efficiency (15-154 kg grain kg(-1) P), irrespective of soil type and season. As soil types and management options differentially affect yields and nutrient use efficiency of maize, there is a need for field-specific targeting of technologies to address maize production constraints in Western Kenya. ### Countries mentioned: Kenya ### Plant products search: maize;grain ### Measurements for crops: maize;grain ### Measurements for interventions: reduced tillage;tillage ### Topics keywords: nitrogen fertilizer;soil fertility;use efficiency;NPK;NH4;weed infestation;RT;NO3;NT;organic amendment;NUE;reduced tillage;crop rotation;yield gap;management practice;organic fertilizer;cover crop;weed control;mineral fertilizer;crop residue;sewage sludge;smallholder farmer ### Geo regions: Sub-Saharan Africa ### World bankdivision regions: BLEND;Middle-income countries($996 to $3,895)",2013,,INTERNATIONAL JOURNAL OF PLANT PRODUCTION,,,,,,,#36610,,"",Experimental
Making nursery compost for small scale farmers using local resources for substitution purposes to imported material in the Gambia (West Africa).,"","Abstract: In tropical Africa, transplant production in small scale horticulture which is generally carried out through nursery beds has proven unreliable and cost ineffective due to pest and rainfall damages. For more success, tray sowing (seedlings produced in trays and transplanted 3-4 weeks later) is being developed. This technique used on over 15 species, needs good quality compost currently imported from Europe, which makes it expensive (US$21/35-40 kg, over 51% of seedling cost) and sometimes unavailable. Twenty different substrates including 3 checks (imported, sand and clay) and different local resources [cow and chicken manures, ground nut shell dust (GNS) and diverse mixtures] were compared through tomato and cabbage hybrids sown on January 10, 2007. Assessment based on seedling growth (plant height weekly measured), compost compactness (4-scale procedure), sterility/absence of phytotoxicity, and plant behaviour after transplanting. Ten treatments out of the 20 produced viable seedlings, with significant differences in plant behaviour. In particular, imported compost and GNS performed very well [final plant height after 4 weeks=168 and 85 mm (imported) for tomato and cabbage respectively vs. 171 and 79 mm (GNS)]. Sand and clay were less effective [97 and 65 mm for tomato and cabbage (sand), 123 and 69 mm respectively (clay)]. As it relates to compactness, these 2 treatments were also the best ones. Cow and chicken manures had lower performance (possible link with phytotoxicity). Transplanted seedlings behaved well for the best treatments. If confirmed, GNS (free material) could be the basis of local nursery compost making (40.5% cost reduction). Follow-up investigations discussed relate to further trials to confirm and improve findings. ### Countries mentioned: Gambia ### Plant products search: groundnuts;tomatoes;leafy vegetables ### Animal products search: poultry meat ### Measurements for interventions: cost reduction;compost;seedling ### Topics keywords: organic fertilizer;small scale;plant height;significant difference;chicken manure;extension service;small scale farmer ### Geo regions: Sub-Saharan Africa;Europe and Central Asia ### World bankdivision regions: Low-income countries(995$ or less);IDA",2007,,"8th African Crop Science Society Conference, El-Minia, Egypt, 27-31 October 2007",,,,,,,#37658,,"",""
